marronnier	Nom usuel de certaines variétés de châtaignier.
etourderie	Caractère d'une personne étourdie, défaut de prévoyance, de réflexion, d'attention ; distraction, inattention : Agir par étourderie.
godet	Petit gobelet à boire, sans pied ni anse.
ameliorees	Augmenter les qualités, les capacités, le niveau de quelque chose, de quelqu'un, les rendre meilleurs : Améliorer le cadre de vie.
ileon	Partie terminale de l'intestin grêle, située entre le jéjunum et le cæcum (début du gros intestin).
avocat	Auxiliaire de justice dont la mission consiste à assister et à représenter en justice une personne qui se présente à lui et à défendre ses intérêts devant les différentes juridictions.
art	Ensemble des procédés, des connaissances et des règles intéressant l'exercice d'une activité ou d'une action quelconque : Faire quelque chose selon les règles de l'art.
pegase	Poisson de la zone intertidale des mers chaudes de la région indopacifique, aux pectorales larges comme des ailes.
desir	Action de désirer, d'aspirer à avoir, à obtenir, à faire quelque chose ; envie, souhait : Avoir le désir de voyager.
emaux	Couleurs vitrifiables, d'origine minérale, posées sur une céramique et fixées à l'aide d'un fondant par une seconde cuisson.
etat	Nature sous laquelle se présente un corps : État liquide, solide, gazeux.
megalomane	Atteint de mégalomanie.
atome	Constituant fondamental de la matière dont les mouvements et les combinaisons rendent compte de l'essentiel des propriétés macroscopiques de celle-ci. (Un corps constitué d'atomes de même espèce est appelé corps simple ou élément chimique.)
arum	Herbe (aracée) vivace rhizomateuse des forêts, aux feuilles en fer de flèche, tachetées de brun, aux fruits rouges toxiques groupés en haut d'un axe floral enveloppé dans une sorte de cornet (spathe).
rode	Errer çà et là, sans but précis : Des chiens rôdent dans les rues.
dot	Ensemble des biens meubles ou immeubles donnés par un tiers à l'un ou l'autre des époux dans le contrat de mariage.
ruelle	Petite rue étroite.
ortie	Plante herbacée (urticacée) hérissée de poils urticants et habitant les régions tempérées. (Les orties, exigeantes en nitrates, sont des plantes rudérales.)
lego	Jeu de construction constitué de pièces de plastique dur qui s'encastrent les unes dans les autres.
necrologie	Liste des personnes notables décédées au cours d'un certain espace de temps : Nécrologie du mois.
CNRS	(1939) (Sigle) Composé d’initiales de « Centre National de la Recherche Scientifique ».
le	Largeur d'une pièce d'étoffe prise entre ses deux lisières.
de	l'origine dans l'espace ou le point de départ dans le temps : J'arrive de Bruxelles. Louis XIV régna de 1643 à 1715.
Mao	Abréviation de monoamine-oxydase.
nu	Qui est sans aucun vêtement : Se baigner tout nu. Aller les jambes nues.
du	Contraction de de le qui s'emploie devant une consonne ou un h aspiré : La vitrine du magasin. La victoire du héros.
apex	Pointe ou sommet d'un organe de forme conique.
ogive	Arc diagonal, nervure saillante en général en plein cintre, dans la voûte gothique.
ecart	Distance, intervalle entre deux choses, entre deux personnes : Un écart de 10 cm.
ressentent	Éprouver une sensation, un état physique, en être affecté de façon agréable ou pénible : Ressentir une douleur. Ressentir les bienfaits d'une cure.
Eire	(Date à préciser) De Éire en gaélique irlandais.
OAS	(Sigle) Initiales de Organisation Armée Secrète.
IRNE	Malheureusement, aucune définition n'a été trouvé sur Larousse, Wikidictionary ou TLFI
