chardonnay	Cépage blanc de Bourgogne et de Champagne ; vin issu de ce cépage.
hera	Pour Lewis et Short [1], la forme correcte est era, pour Félix Gaffiot, c’est une variante de hera.
saule	Arbre ou arbrisseau (salicacée) des sols humides et du bord des cours d'eau, caractérisé par ses feuilles grisâtres et souvent taillé en têtard pour fournir des rameaux souples (osier).
autun	Malheureusement, aucune définition n'a été trouvé sur Larousse, Wikidictionary ou TLFI
bain	Action de se baigner ou de baigner quelqu'un : Préférer le bain à la douche. Bain de mer.
Mr	Abréviation anglaise utilisée devant les noms d'hommes qui n'ont pas le titre de sir.
quai	Section de berge, de rive ou de rivage d'un port ou d'une voie navigable, aménagée en vue de permettre l'accostage des bâtiments de navigation, l'embarquement ou le débarquement des passagers, le chargement ou le déchargement des marchandises.
beaune	Malheureusement, aucune définition n'a été trouvé sur Larousse, Wikidictionary ou TLFI
son	Sensation auditive engendrée par une onde acoustique.
meurette	Sauce au vin rouge, aromatisée et liée au beurre manié, accompagnant des œufs pochés ou du poisson de rivière.
ree	Pousser un cri bref, en parlant du cerf.
cep	Pied de vigne.
torah	Loi de Moïse, loi juive.
il	Sujet d'un verbe à la 3e personne, représentant un nom masculin singulier (il) ou pluriel (ils), qui a été ou qui va être exprimé, ou désignant une (ou des) personne(s) présente(s) ou non dans la situation : Votre frère ne viendra pas, il est malade.
sens	Chacune des fonctions psychophysiologiques par lesquelles un organisme reçoit des informations sur certains éléments du milieu extérieur, de nature physique (vue, audition, sensibilité à la pesanteur, toucher) ou chimique (goût, odorat).
or	Métal d'un jaune brillant, dense, très ductile, inaltérable à l'air et à l'eau et qui a une très grande valeur commerciale. (Élément chimique de symbole Au, de numéro atomique 79, de masse atomique 196,97.)
neisse	Malheureusement, aucune définition n'a été trouvé sur Larousse, Wikidictionary ou TLFI
jus	Liquide extrait de la pulpe, de la chair de certains fruits ou légumes ; boisson constituée par ce liquide.
Chambertin	Grand vin rouge de Bourgogne. (Commune de Gevrey-Chambertin.)
heure	Unité de temps (symbole h) valant 3 600 secondes, soit soixante minutes, contenue vingt-quatre fois dans un jour : Vous avez deux heures pour faire ce travail.
art	Ensemble des procédés, des connaissances et des règles intéressant l'exercice d'une activité ou d'une action quelconque : Faire quelque chose selon les règles de l'art.
amer	Se dit d'une saveur rude et désagréable ; aigre : L'écorce d'orange est amère.
rauque	Se dit d'une voix rude, âpre et comme enrouée.
ass	(Nom commun 1) De l’anglo-saxon assa.
nunuches	Familier. Qui est un peu niais.
os	Structure rigide, fortement minéralisée, constituant le squelette de l'homme et des vertébrés.
aere	Renouveler l'air dans un espace clos ; ventiler : Aérer une galerie de mine.
ne	accompagné de pas, point, guère, plus, rien, aucun, nul, personne, jamais ou de mots négatifs analogues : Je ne veux pas. On n'y comprend rien.
nabi	Chez les Hébreux et dans d'autres civilisations de l'Ancien Orient, homme qui parle au nom du dieu qui l'a envoyé.
epis	Inflorescence à croissance axiale prolongée et dont les fleurs ou les épillets sont serrés en manchon autour de l'axe : Épi de muguet.
aligote	Se dit d'un cépage à raisins blancs, cultivé en Bourgogne et qui donne des vins ordinaires.
yen	Unité monétaire principale du Japon.
Nevers	Du latin Nevirnum.
